id,document,category,difficulty,question,baseline_gt_coverage,agentic_gt_coverage,baseline_gt_f1,agentic_gt_f1,baseline_missing_information_accuracy,agentic_missing_information_accuracy,baseline_multi_hop_coverage,agentic_multi_hop_coverage,baseline_graph_reasoning_success,agentic_graph_reasoning_success,baseline_evidence_support_rate,agentic_evidence_support_rate,baseline_faithfulness,baseline_answer_relevancy,baseline_context_precision,baseline_context_recall,baseline_overall,agentic_faithfulness,agentic_answer_relevancy,agentic_context_precision,agentic_context_recall,agentic_overall,baseline_latency_s,agentic_latency_s,baseline_chunks,agentic_chunks
11,thesis_doc_02_multi_agent_workflow.docx,evidence selection,hard,Which metadata fields make the multi agent workflow more transparent than black box generation?,0.857,0.952,0.706,0.615,,,1.0,1.0,,,1.0,1.0,,,,,,,,,,,12.69,62.88,5,9
12,thesis_doc_02_multi_agent_workflow.docx,evaluation and ablation explanation,hard,When should the full hierarchy be preferred over baseline RAG according to the workflow document?,0.619,0.81,0.473,0.567,,,0.667,0.667,,,1.0,1.0,,,,,,,,,,,12.1,72.11,5,9
13,thesis_doc_03_graph_reasoning_case_study.docx,graph dependency reasoning,hard,Trace the dependency path from Orion Service to Compliance Review in the incident.,1.0,1.0,0.571,0.8,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,12.93,68.59,5,8
14,thesis_doc_03_graph_reasoning_case_study.docx,graph dependency reasoning,hard,Explain why a Cache Layer failure can affect Compliance Review even when the dashboard is healthy.,0.737,0.842,0.333,0.395,,,0.8,1.0,1.0,1.0,0.8,1.0,,,,,,,,,,,19.4,87.35,5,8
15,thesis_doc_03_graph_reasoning_case_study.docx,graph dependency reasoning,hard,Connect the schema migration field change to the downstream compliance effect.,0.826,0.913,0.521,0.553,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,14.18,77.43,5,8
16,thesis_doc_03_graph_reasoning_case_study.docx,evidence selection,hard,"Which evidence shows that the Audit Dashboard was only a downstream display component, not the root cause?",0.867,1.0,0.481,0.517,,,1.0,1.0,,,1.0,1.0,,,,,,,,,,,16.48,73.83,5,8
17,thesis_doc_03_graph_reasoning_case_study.docx,multi-hop relationship reasoning,hard,How do the ownership responsibilities relate to the recovery procedure?,0.818,0.909,0.48,0.556,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,14.67,78.55,5,8
18,thesis_doc_03_graph_reasoning_case_study.docx,graph dependency reasoning,hard,Why are a compatibility contract and relationship test recommended together?,1.0,0.826,0.282,0.458,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,20.35,68.5,5,8
19,thesis_doc_03_graph_reasoning_case_study.docx,missing information handling,hard,What exact revenue impact and final regulatory conclusion are reported for the Orion incident?,0.75,0.75,0.522,0.545,1.0,1.0,0.667,0.667,,,0.667,0.667,,,,,,,,,,,8.46,61.8,5,8
20,thesis_doc_04_evaluation_and_ablation_report.docx,evaluation and ablation explanation,hard,Explain how the main result summary supports the claim that agentic RAG improves reliability but costs latency.,0.905,0.952,0.551,0.58,,,1.0,1.0,,,1.0,1.0,,,,,,,,,,,18.79,67.04,5,9
21,thesis_doc_04_evaluation_and_ablation_report.docx,evidence selection,hard,Which ablation result best supports keeping the Reliability Gate in the proposed system?,0.727,0.727,0.457,0.39,,,1.0,1.0,,,1.0,1.0,,,,,,,,,,,8.2,70.3,5,9
22,thesis_doc_04_evaluation_and_ablation_report.docx,evaluation and ablation explanation,hard,"How do BM25, Critic Agent and Reliability Gate removals affect different parts of reliability?",0.875,1.0,0.491,0.533,,,1.0,1.0,,,1.0,1.0,,,,,,,,,,,14.32,76.75,5,9
23,thesis_doc_04_evaluation_and_ablation_report.docx,graph dependency reasoning,hard,Why does graph search matter specifically for the graph reasoning subset?,0.944,0.944,0.618,0.567,,,0.875,1.0,0.8,1.0,0.875,1.0,,,,,,,,,,,9.55,63.38,5,9
24,thesis_doc_04_evaluation_and_ablation_report.docx,missing information handling,hard,What public leaderboard rank and external competition score are reported for the proposed system?,0.75,0.875,0.414,0.519,1.0,1.0,0.667,0.667,,,0.667,0.667,,,,,,,,,,,8.36,37.31,5,9
25,thesis_doc_04_evaluation_and_ablation_report.docx,evaluation and ablation explanation,hard,How should the latency cost be interpreted in high reliability and low risk settings?,0.857,0.952,0.706,0.755,,,0.833,1.0,,,1.0,1.0,,,,,,,,,,,11.81,77.23,5,9
26,thesis_doc_01_rag_system_design.docx,self-reflection reliability reasoning,hard,"Why is a citation valid only when it directly supports the sentence, and how does this relate to the reliability gate?",0.6,0.9,0.444,0.235,,,0.4,1.0,,,1.0,1.0,,,,,,,,,,,19.42,87.3,5,10
27,thesis_doc_01_rag_system_design.docx,missing information handling,hard,What should the system do if a user asks for an unapproved rollback exception and only related deployment rules are retrieved?,0.769,0.462,0.606,0.429,1.0,1.0,1.0,0.5,,,0.667,0.0,,,,,,,,,,,16.22,72.59,5,9
28,thesis_doc_02_multi_agent_workflow.docx,multi-hop relationship reasoning,hard,How do Planner strategy selection and Query Decomposer output influence retrieval behaviour?,0.375,0.875,0.267,0.212,,,0.6,1.0,0.667,1.0,0.6,1.0,,,,,,,,,,,20.24,79.5,5,9
29,thesis_doc_02_multi_agent_workflow.docx,missing information handling,hard,What information is not provided about the exact model hardware used by the workflow agents?,0.714,0.714,0.625,0.625,1.0,1.0,0.667,0.667,,,0.0,0.0,,,,,,,,,,,7.85,54.53,5,9
30,thesis_doc_03_graph_reasoning_case_study.docx,graph dependency reasoning,hard,"How does the field mismatch move through records, indexing, dashboard status and compliance review?",0.8,0.7,0.427,0.384,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,17.91,78.74,5,8
31,thesis_doc_03_graph_reasoning_case_study.docx,missing information handling,hard,Which unavailable incident details should the system refuse to invent?,0.8,0.8,0.627,0.744,0.0,1.0,0.833,0.833,,,0.667,0.667,,,,,,,,,,,9.39,69.33,5,8
32,thesis_doc_04_evaluation_and_ablation_report.docx,evaluation and ablation explanation,hard,Why is the complex benchmark not evidence that agentic RAG should replace baseline RAG for every query?,0.941,0.588,0.241,0.247,,,1.0,0.714,,,1.0,0.333,,,,,,,,,,,12.85,71.26,5,9
33,thesis_doc_04_evaluation_and_ablation_report.docx,evaluation and ablation explanation,hard,How do custom metrics extend RAGAS for this thesis benchmark?,0.875,0.958,0.532,0.517,,,0.833,0.833,,,1.0,1.0,,,,,,,,,,,11.75,71.94,5,9
34,thesis_doc_02_multi_agent_workflow.docx,evidence selection,hard,Which evidence shows the workflow is intended for complex reliability tasks rather than every direct fact lookup?,0.727,0.591,0.485,0.456,,,0.833,0.667,,,0.667,0.667,,,,,,,,,,,11.86,69.84,5,9
35,thesis_doc_02_multi_agent_workflow.docx,self-reflection reliability reasoning,hard,"How do the Validator, Critic Agent and Reliability Gate provide three different reliability checks?",0.286,1.0,0.273,0.246,,,0.167,0.833,,,0.333,1.0,,,,,,,,,,,19.11,74.83,5,9
36,thesis_doc_03_graph_reasoning_case_study.docx,graph dependency reasoning,hard,Why is the Orion case suitable for graph based reasoning rather than isolated fact retrieval?,0.409,0.409,0.375,0.375,,,0.833,0.833,0.0,0.0,0.833,0.833,,,,,,,,,,,12.89,64.75,5,8
37,thesis_doc_01_rag_system_design.docx,multi-hop relationship reasoning,hard,How do semantic evidence and exact lexical evidence work together in the retrieval coordinator?,0.765,0.941,0.591,0.485,,,0.6,1.0,1.0,1.0,0.6,1.0,,,,,,,,,,,11.26,69.6,5,9
38,thesis_doc_04_evaluation_and_ablation_report.docx,evidence selection,hard,"Which result links graph search to downstream effects, teams and risks?",0.833,0.667,0.588,0.558,,,1.0,0.714,,,1.0,0.667,,,,,,,,,,,12.57,64.52,5,9
39,thesis_doc_02_multi_agent_workflow.docx,self-reflection reliability reasoning,hard,How does recording validation decision and critic score support evaluation?,0.579,0.526,0.328,0.27,,,0.5,0.5,,,1.0,0.667,,,,,,,,,,,13.3,78.44,5,9
40,thesis_doc_03_graph_reasoning_case_study.docx,graph dependency reasoning,hard,"If someone blames Compliance Review for the incident, how should the graph chain correct that explanation?",0.938,0.938,0.577,0.517,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,10.64,64.34,5,8
